Name,NameCanonical,Reconcile,ReconcileCanonical,IsDiffCanonical,OrigName,Phylum,LineNum,DatasetIDs,Line
"Unio tumidus radiatus Colbeau, 1859",Unio tumidus radiatus,Unio tumidus radiata Retz.,Unio tumidus radiata,true,"radiatus, Unio tumidus Colbeau, 1859",Mollusca,26319,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","radiatus, Unio tumidus Colbeau, 1859:12"
"Trochus radifer Piette, 1855",Trochus radifer,Trochus radiifer,Trochus radiifer,true,"radifer, Trochus Piette, 1855",Mollusca,26321,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","radifer, Trochus Piette, 1855a, 12:1120"
"Conus raimaculatus G. Sowerby, 1870",Conus raimaculatus,"Conus rarimaculatus G. B. Sowerby II, 1870",Conus rarimaculatus,true,"raimaculatus, Conus G. Sowerby, 1870",Mollusca,26343,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","raimaculatus, Conus G. Sowerby, 1870:257, plate 22: figure 4"
"Polycera ramulosa Stimpson, 1855",Polycera ramulosa,Polycerea ramulosa,Polycerea ramulosa,true,"ramulosa, Polycera Stimpson, 1855",Mollusca,26369,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ramulosa, Polycera Stimpson, 1855b, 7:379"
"Aviculopecten randolphensis Meek and Worthen, 1866",Aviculopecten randolphensis,Aviculopecten randolphense M. and W.,Aviculopecten randolphense,true,"randolphensis, Aviculopecten Meek and Worthen, 1866",Mollusca,26371,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","randolphensis, Aviculopecten Meek and Worthen, 1866b, 1:14"
"Lucina raquieni Levesque, in Deshayes, 1858",Lucina raquieni,"Lucina raquini Lévesque, 1847",Lucina raquini,true,"raquieni, Lucina Levesque, in Deshayes, 1858",Mollusca,26395,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","raquieni, Lucina Levesque, in Deshayes, 1858 [in 1856-1865], 1:662 [variation in spelling of requieni]"
"Ancylus raymondii Bourguignat, 1853",Ancylus raymondii,"Ancylus raymondi Bourguignat, 1864",Ancylus raymondi,true,"raymondii, Ancylus Bourguignat, 1853",Mollusca,26469,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","raymondii, Ancylus Bourguignat, 1853b, 4:182; 1864c, 2:199, plate NUMBER 294 461 12: figures 45^9"
"Helix raynaldi Gassies, 1863",Helix raynaldi,"Helix raynali Gassies, 1863",Helix raynali,true,"raynaldi, Helix Gassies, 1863",Mollusca,26477,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","raynaldi, Helix Gassies, 1863, 24:238, plate 1 [5]: figure 6"
"Porcella rectinoda Winchell, 1863",Porcella rectinoda,Porcellia rectinoda Winchell 1863,Porcellia rectinoda,true,"rectinoda, Porcella Winchell, 1863",Mollusca,26545,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","rectinoda, Porcella Winchell, 1863:18"
"Crepidula recurvirostra Conrad, 1870",Crepidula recurvirostra,Crepidula recurirostra Conrad 1871,Crepidula recurirostra,true,"recurvirostra, Crepidula Conrad, 1870",Mollusca,26562,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","recurvirostra, Crepidula Conrad, 1870, 6:78"
"Cerithum recurvum G. Sowerby, 1855",Cerithum recurvum,"Cerithium (Vertagus) recurvum G. B. Sowerby II, 1855",Cerithium recurvum,true,"recurvum, Cerithum G. Sowerby, 1855",Mollusca,26564,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","recurvum, Cerithum G. Sowerby, 1855 [in 1847-1886]:854, plate 176: figures 16-18; as Vertagus, 1866 [in 1865-1870], 15(Vertagus): plate 5: species 23"
"Helix redemita W. Binney, 1859",Helix redemita,Helix redimita (Binn. ),Helix redimita,true,"redemita, Helix W. Binney, 1859",Mollusca,26566,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","redemita, Helix W. Binney, 1859a, 7:9 [variation in spelling of redimita]; as Polymita, Tryon, 1866 [in 1866-1868], 2:320, plate 6: figure 7"
