Name,NameCanonical,Reconcile,ReconcileCanonical,IsDiffCanonical,OrigName,Phylum,LineNum,DatasetIDs,Line
"Unio requienii abreviatus Joannis, 1859",Unio requienii abreviatus,"Unio requienii abbreviatus de Joannis, 1859",Unio requienii abbreviatus,true,"abreviatus, Unio requienii Joannis, 1859",Mollusca,84,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","abreviatus, Unio requienii Joannis, 1859b, 3:290, plate 11: figure 7"
"Chemnitzia aciculatis A. Adams, 1853",Chemnitzia aciculatis,"Chemnitzia acicularis A. Adams, 1855",Chemnitzia acicularis,true,"aciculatis, Chemnitzia A. Adams, 1853",Mollusca,176,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aciculatis, Chemnitzia A. Adams, 1853f:182"
"Buccinum actonis Philippi, 1868",Buccinum actonis,"Buccinum actoni Philippi, 1868",Buccinum actoni,true,"actonis, Buccinum Philippi, 1868",Mollusca,212,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","actonis, Buccinum Philippi, 1868, 15:223"
"Nerinaea acuminata C. Moore, 1867",Nerinaea acuminata,"Nerinea acuminata Moore, 1867",Nerinea acuminata,true,"acuminata, Nerinaea C. Moore, 1867",Mollusca,248,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","acuminata, Nerinaea C. Moore, 1867, 23:546, plate 14: figure 22"
"Nassa pagodus acuta P. Carpenter, 1857",Nassa pagodus acuta,"Nassa pagoda var. acuta Carpenter, 1857",Nassa pagoda acuta,true,"acuta, Nassa pagodus P. Carpenter, 1857",Mollusca,293,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","acuta, Nassa pagodus P. Carpenter, 1857 [in 1855-1857]:496"
"Pecten acutauritus Schafhäutl, 1851",Pecten acutauritus,"Pecten acuteauritus Schafhäutl, 1851",Pecten acuteauritus,true,"acutauritus, Pecten Schafhäutl, 1851",Mollusca,327,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","acutauritus, Pecten Schafhäutl, 1851c:417, 419, plate 7: figure 10"
"Obeliscus adamsi P. Carpenter, 1864",Obeliscus adamsi,"Obeliscus adamsii P. P. Carpenter, 1864",Obeliscus adamsii,true,"adamsi, Obeliscus P. Carpenter, 1864",Mollusca,403,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","adamsi, Obeliscus P. Carpenter, 1864c:547"
"Venus adamsii Reeve, 1863",Venus adamsii,"Venus adamsi Reeve, 1863",Venus adamsi,true,"adamsii, Venus Reeve, 1863",Mollusca,411,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","adamsii, Venus Reeve, 1863 [in 1851-1870], 14(Venus): plate 17: species 77"
"Spiraxis adamsiana Pfeiffer, 1852",Spiraxis adamsiana,"Spiraxis adamsianus L. Pfeiffer, 1852",Spiraxis adamsianus,true,"adamsiana, Spiraxis Pfeiffer, 1852",Mollusca,424,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","adamsiana, Spiraxis Pfeiffer, 1852i, 9:178"
"Bulimus adenensis Pfeiffer, 1851",Bulimus adenensis,Bulimus (Pachnodus) adonensis Godwin-Austen 1881,Bulimus adonensis,true,"adenensis, Bulimus Pfeiffer, 1851",Mollusca,453,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","adenensis, Bulimus Pfeiffer, 1851b, 8:27; 1853 [in 1840-1865], 1(13,): 78, plate 21: figures 12, 13"
"Sphaenia aequilateralis Deshayes, 1857",Sphaenia aequilateralis,"Sphenia aequilateralis Deshayes, 1857",Sphenia aequilateralis,true,"aequilateralis, Sphaenia Deshayes, 1857",Mollusca,547,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aequilateralis, Sphaenia Deshayes, 1857 [in 1856-1865], 1:196, plate 11 bis: figures 4-7"
"Helix aethiops Bielz, 1851",Helix aethiops,"Helix aethyops M. Bielz, 1851",Helix aethyops,true,"aethiops, Helix Bielz, 1851",Mollusca,580,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aethiops, Helix Bielz, 1851, 2:55"
"Cyclostoma agassizii Charpentier, in Pfeiffer, 1854",Cyclostoma agassizii,Cyclostoma agassizi Charp.,Cyclostoma agassizi,true,"agassizii, Cyclostoma Charpentier, in Pfeiffer, 1854",Mollusca,668,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","agassizii, Cyclostoma Charpentier, in Pfeiffer, 1854 [in 1843-1854], l(19):280, plate 38: figures 1, 2; as Chondropoma, Reeve, 1863 [in 1851-1870], 14(Condropoma): plate 9: species 64"
"Venus agassizii Orbigny, 1852",Venus agassizii,Venus agassizi d'Orbigny,Venus agassizi,true,"agassizii, Venus Orbigny, 1852",Mollusca,674,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","agassizii, Venus Orbigny, 1852 [in 1850-1852], 3:181"
"Mitra aizyensis Deshayes, 1865",Mitra aizyensis,"Mitra aizyense Deshayes, 1865",Mitra aizyense,true,"aizyensis, Mitra Deshayes, 1865",Mollusca,711,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aizyensis, Mitra Deshayes, 1865 [in 1856-1865], 3:579, plate 103: figures 6, 7"
"Avicula ala-perdicis Reeve, 1857",Avicula ala-perdicis,"Avicula alaperdicis Reeve, 1857",Avicula alaperdicis,true,"ala-perdicis, Avicula Reeve, 1857",Mollusca,742,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ala-perdicis, Avicula Reeve, 1857 [in 1851-1870], 10(Avicula): plate 6: species 10; plate 7: figure 14"
"Cyclostoma alatum Pfeiffer, 1851",Cyclostoma alatum,"Cyclostoma elatum L. Pfeiffer, 1852",Cyclostoma elatum,true,"alatum, Cyclostoma Pfeiffer, 1851",Mollusca,758,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","alatum, Cyclostoma Pfeiffer, 1851e:250; 1854 [in 1843-1854], 1(19): 319, plate 41: figures 35-37; Reeve, 1862 [in 1851-1870], 13(Cyclostoma): plate 23: species 161"
"Venus alatus Reeve, 1863",Venus alatus,"Venus alata Reeve, 1863",Venus alata,true,"alatus, Venus Reeve, 1863",Mollusca,762,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","alatus, Venus Reeve, 1863 [in 1851-1870], 14(Vcnus): plate 18: species 83"
"Marginella albayana Gaskoin, 1853",Marginella albayana,"Marginella albanyana Gaskoin, 1853",Marginella albanyana,true,"albayana, Marginella Gaskoin, 1853",Mollusca,805,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","albayana, Marginella Gaskoin, 1853, 11:358"
"Aporrhais pes-pelecani albida Jeffreys, 1867",Aporrhais pes-pelecani albida,"Aporrhais pespelecani var. albida Jeffreys, 1867",Aporrhais pespelecani albida,true,"albida, Aporrhais pes-pelecani Jeffreys, 1867",Mollusca,839,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","albida, Aporrhais pes-pelecani Jeffreys, 1867 [in 1862-1869], 4:251"
"Cylindrella maugeri albo-anfractus Chitty, 1853",Cylindrella maugeri albo-anfractus,"Cylindrella maugeri var. alboanfractus Chitty, 1853",Cylindrella maugeri alboanfractus,true,"albo-anfractus, Cylindrella maugeri Chitty, 1853",Mollusca,936,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","albo-anfractus, Cylindrella maugeri Chitty, 1853, 1:8"
"Cytheraea albo-dorsata G. Sowerby, 1854",Cytheraea albo-dorsata,"Cytheraea albodorsata G. B. Sowerby II, 1854",Cytheraea albodorsata,true,"albo-dorsata, Cytheraea G. Sowerby, 1854",Mollusca,945,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","albo-dorsata, Cytheraea G. Sowerby, 1854 [in 1847-1886]:786, plate 168: figures 212, 213"
"Helix aspersa albo-fasciata Jeffreys, 1862",Helix aspersa albo-fasciata,"Helix aspersa var. albofasciata Jeffreys, 1862",Helix aspersa albofasciata,true,"albo-fasciata, Helix aspersa Jeffreys, 1862",Mollusca,946,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","albo-fasciata, Helix aspersa Jeffreys, 1862 [in 1862-1869], 1:181"
"Venus albo-radiata G. Sowerby, 1853",Venus albo-radiata,"Venus alboradiata G. B. Sowerby II, 1853",Venus alboradiata,true,"albo-radiata, Venus G. Sowerby, 1853",Mollusca,965,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","albo-radiata, Venus G. Sowerby, 1853 [in 1847-1886]:732, plate 161: figure 199; Reeve, 1863 [in 1851-1870], 14(Venus): plate 3: species 7"
"Trochomorpha subtrochiformis albo-striata Mousson, 1870",Trochomorpha subtrochiformis albo-striata,"Trochomorpha subtrochiformis var. albostriata Mousson, 1870",Trochomorpha subtrochiformis albostriata,true,"albo-striata, Trochomorpha subtrochiformis Mousson, 1870",Mollusca,966,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","albo-striata, Trochomorpha subtrochiformis Mousson, 1870, 18:122"
"Thylacodes polyphragma aletes Mörch, 1862",Thylacodes polyphragma aletes,"Thylacodus polyphragma var. aletes Mörch, 1862",Thylacodus polyphragma aletes,true,"aletes, Thylacodes polyphragma Mörch, 1862",Mollusca,1007,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aletes, Thylacodes polyphragma Mörch, 1862 [in 1861-1862]:66"
"Neritina alloeodus F. Sandberger, 1863",Neritina alloeodus,"Neritina aloeodus F. Sandberger, 1860",Neritina aloeodus,true,"alloeodus, Neritina F. Sandberger, 1863",Mollusca,1046,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","alloeodus, Neritina F. Sandberger, 1863:153, plate 20: figures 13 a,b"
"Lima alpis-sordidae Winkler, 1864",Lima alpis-sordidae,Lima alpissordidae (Winkler 1864),Lima alpissordidae,true,"alpis-sordidae, Lima Winkler, 1864",Mollusca,1086,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","alpis-sordidae, Lima Winkler, 1864:299, plate 6: figure 5"
"Limopsis alter Deshayes, 1858",Limopsis alter,"Limopsis altera Deshayes, 1858",Limopsis altera,true,"alter, Limopsis Deshayes, 1858",Mollusca,1112,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","alter, Limopsis Deshayes, 1858 [in 1856-1865], atlas I: plate 72: figures 13-15; 1860 [in 1856-1865], 1:844"
"Cyrena altilus Gould, 1853",Cyrena altilus,"Cyrena altilis Gould, 1853",Cyrena altilis,true,"altilus, Cyrena Gould, 1853",Mollusca,1150,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","altilus, Cyrena Gould, 1853, 6:400, plate 16: figure 5"
"Helcion alveolis Meek and Hayden, 1856",Helcion alveolis,Helcion alveolus,Helcion alveolus,true,"alveolis, Helcion Meek and Hayden, 1856",Mollusca,1188,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","alveolis, Helcion Meek and Hayden, 1856e, 8:283 [variation in spelling of alveolus]"
"Limax da-campi amaliae Bettoni, 1870",Limax da-campi amaliae,"Limax dacampi var. amaliae Bettoni, 1870",Limax dacampi amaliae,true,"amaliae, Limax da-campi Bettoni, 1870",Mollusca,1204,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","amaliae, Limax da-campi Bettoni, 1870, 3:166, plate 3: figure 2 a"
"Helix ambielina Charpentier, in Paladilhe, 1867",Helix ambielina,Helix ambiclina,Helix ambiclina,true,"ambielina, Helix Charpentier, in Paladilhe, 1867",Mollusca,1227,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ambielina, Helix Charpentier, in Paladilhe, 1867 [in 1866-1868], 19: 43"
"Astarte ambigua Buvignier, 1852",Astarte ambigua,Astartea ambigua,Astartea ambigua,true,"ambigua, Astarte Buvignier, 1852",Mollusca,1230,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ambigua, Astarte Buvignier, 1852, atlas page 18, plate 15: figures 34-36"
"Cyclostoma (Cyclophorus) amboinense Pfeiffer, 1852",Cyclostoma amboinense,"Cyclostoma (Cyclophorus) amboinensis L. Pfeiffer, 1854",Cyclostoma amboinensis,true,"amboinense, Cyclostoma (Cyclophorus) Pfeiffer, 1852",Mollusca,1267,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","amboinense, Cyclostoma (Cyclophorus) Pfeiffer, 1852o:144; 1854 [in 1843-1854], 1(19):373, plate 48: figures 20-24; Reeve, 1861 [in 1851-1870], l3(Cyclophorus): plate 18: species 88; Martens, 1867f, 2:121, plate 2: figures 4, 5"
"Eledone ambrosiaca Risso, 1854",Eledone ambrosiaca,"Eledona ambrosiaca Risso, 1854",Eledona ambrosiaca,true,"ambrosiaca, Eledone Risso, 1854",Mollusca,1273,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ambrosiaca, Eledone Risso, 1854:45, plate 21"
"Glandina amoena Martens, 1865",Glandina amoena,Glandina amaena Marten 1865,Glandina amaena,true,"amoena, Glandina Martens, 1865",Mollusca,1316,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","amoena, Glandina Martens, 1865a, 12:12, plate 1: figures 8, 9"
"Murex angiostoma Küster, in Küster, and Kobelt, 1869",Murex angiostoma,"Murex angistoma Küster, 1869",Murex angistoma,true,"angiostoma, Murex Küster, in Küster, and Kobelt, 1869",Mollusca,1509,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","angiostoma, Murex Küster, in Küster, and Kobelt, 1869 [in 1839- 1878], 3(2):88, plate 31: figure 7"
"Teredo anguinus F. Sandberger, 1863",Teredo anguinus,Teredo anguineus,Teredo anguineus,true,"anguinus, Teredo F. Sandberger, 1863",Mollusca,1530,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","anguinus, Teredo F. Sandberger, 1863: plate 21: figure 1"
"Gervillia angulati Quenstedt, 1856",Gervillia angulati,Gervillia angulata,Gervillia angulata,true,"angulati, Gervillia Quenstedt, 1856",Mollusca,1571,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","angulati, Gervillia Quenstedt, 1856 [in 1856-1858]:6O, plate 6: figure 140 SMITHSONIAN CONTRIBUTIONS TO ZOOLOGY"
"Pisidium angulatum Prime, 1860",Pisidium angulatum,Psidium angulatum,Psidium angulatum,true,"angulatum, Pisidium Prime, 1860",Mollusca,1573,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","angulatum, Pisidium Prime, 1860g:322"
"Pleurotoma angulatum Folin, 1867",Pleurotoma angulatum,Pleurotoma angulata,Pleurotoma angulata,true,"angulatum, Pleurotoma Folin, 1867",Mollusca,1574,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","angulatum, Pleurotoma Folin, 1867 [in 1867-1871], 1:22, plate 2: figure 10"
"Mesodesma angulum Deshayes, 1854",Mesodesma angulum,Mesodesma angula,Mesodesma angula,true,"angulum, Mesodesma Deshayes, 1854",Mollusca,1610,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","angulum, Mesodesma Deshayes, 1854c:337; Reeve, 1854 [in 1851- 1870], 8(Mesodesma): plate 4: species 22"
"Turbonella angusta Leach, in J. Gray, 1852",Turbonella angusta,Turbonilla angusta Leach 1847,Turbonilla angusta,true,"angusta, Turbonella Leach, in J. Gray, 1852",Mollusca,1645,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","angusta, Turbonella Leach, in J. Gray, 1852d: 166"
"Nerinea annulata Gemmellaro, 1865",Nerinea annulata,Nerinaea annulata,Nerinaea annulata,true,"annulata, Nerinea Gemmellaro, 1865",Mollusca,1710,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","annulata, Nerinea Gemmellaro, 1865, 1:35, plate 5: figures 1, 2"
"Ostrea anomala Terquem, 1855",Ostrea anomala,Ostrea anomialis,Ostrea anomialis,true,"anomala, Ostrea Terquem, 1855",Mollusca,1737,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","anomala, Ostrea Terquem, 1855b, 5:329, plate 25: figure 5"
"Scalaria anversiensis Deshayes, 1861",Scalaria anversiensis,"Scalaria auversiensis Deshayes, 1861",Scalaria auversiensis,true,"anversiensis, Scalaria Deshayes, 1861",Mollusca,1838,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","anversiensis, Scalaria Deshayes, 1861 (in 1856-1865], 2:345, plate 25: figure 1"
"Physa fontinalis aplesoides Colbeau, 1868",Physa fontinalis aplesoides,"Physa fontinalis var. aplexoides Colbeau, 1868",Physa fontinalis aplexoides,true,"aplesoides, Physa fontinalis Colbeau, 1868",Mollusca,1906,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aplesoides, Physa fontinalis Colbeau, 1868, 3:110, plate 2: figure 11"
"Arca aquisgranensis J. Müller, 1859",Arca aquisgranensis,Arca aequisgranensis,Arca aequisgranensis,true,"aquisgranensis, Arca J. Müller, 1859",Mollusca,1961,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aquisgranensis, Arca J. Müller, 1859:10, plate 7: figure 18"
"Ericina aradae Giunti, in Biondi, 1859",Ericina aradae,"Erycina aradae Biondi, 1859",Erycina aradae,true,"aradae, Ericina Giunti, in Biondi, 1859",Mollusca,1990,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aradae, Ericina Giunti, in Biondi, 1859 [in 1854-1859], 14:115, figure 1"
"Melania arcte-cava Mousson, 1857",Melania arcte-cava,"Melania arctecava Mousson, 1857",Melania arctecava,true,"arcte-cava, Melania Mousson, 1857",Mollusca,2088,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","arcte-cava, Melania Mousson, 1857, 6:161"
"Melania arcticava Mousson, in Reeve, 1859",Melania arcticava,"Melania arctecava Mousson, 1857",Melania arctecava,true,"arcticava, Melania Mousson, in Reeve, 1859",Mollusca,2095,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","arcticava, Melania Mousson, in Reeve, 1859 [in 1851-1870], 12(Melania): plate 12: species 71"
"Cylindrella arctospira Pfeiffer, 1860",Cylindrella arctospira,"Cylindrella arctispira L. Pfeiffer, 1860",Cylindrella arctispira,true,"arctospira, Cylindrella Pfeiffer, 1860",Mollusca,2101,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","arctospira, Cylindrella Pfeiffer, 1860b: 139, plate 50: figure 2; as arctispira, 1861e, 8:81"
"Bulimus arcuato-striatus Pfeiffer, 1855",Bulimus arcuato-striatus,"Bulimus arcuatostriatus L. Pfeiffer, 1855",Bulimus arcuatostriatus,true,"arcuato-striatus, Bulimus Pfeiffer, 1855",Mollusca,2116,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","arcuato-striatus, Bulimus Pfeiffer, 1855j:95"
"Trigona arduenna Buvignier, 1852",Trigona arduenna,"Trigonia arduenna Buvignier, 1852",Trigonia arduenna,true,"arduenna, Trigona Buvignier, 1852",Mollusca,2124,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","arduenna, Trigona Buvignier, 1852, atlas page 20, plate 4: figures 11-14"
"Natica ardunnensis Buvignier, 1852",Natica ardunnensis,Natica arduennensis,Natica arduennensis,true,"ardunnensis, Natica Buvignier, 1852",Mollusca,2133,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ardunnensis, Natica Buvignier, 1852, atlas page 31, plate 23: figures 14-16"
"Oscanius argentatus Leach, in J. Gray, 1852",Oscanius argentatus,Osanius argentatus Leach 1847,Osanius argentatus,true,"argentatus, Oscanius Leach, in J. Gray, 1852",Mollusca,2173,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","argentatus, Oscanius Leach, in J. Gray, 1852d:29"
"Sigaretus argenteus Reeve, 1864",Sigaretus argenteus,Sigaretus argentecus,Sigaretus argentecus,true,"argenteus, Sigaretus Reeve, 1864",Mollusca,2182,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","argenteus, Sigaretus Reeve, 1864 [in 1851-1870], 15(Sigaretus): plate 5: species 25"
"Limax argilaceus Gassies, 1858",Limax argilaceus,"Limax argillaceus Gassies, 1856",Limax argillaceus,true,"argilaceus, Limax Gassies, 1858",Mollusca,2186,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","argilaceus, Limax Gassies, 1858b, 22:232"
"Ampullaria armeniacus Hupe, 1857",Ampullaria armeniacus,"Ampullaria armeniaca Hupé, 1857",Ampullaria armeniaca,true,"armeniacus, Ampullaria Hupe, 1857",Mollusca,2232,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","armeniacus, Ampullaria Hupe, 1857:69, plate 13: figure 5"
"Helix arrossa Gould, in W. Binney, 1857",Helix arrossa,Helix (Arionta) arrosa Gould,Helix arrosa,true,"arrossa, Helix Gould, in W. Binney, 1857",Mollusca,2264,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","arrossa, Helix Gould, in W. Binney, 1857b: 185; as Aglaja, Tryon, 1866 [in 1866-1868], 2:311, plate 5: figure 10; as Helix, W. Binney and Bland, 1869, 194:163, figure 282-284"
"Canthiridus articularis A. Adams, 1851",Canthiridus articularis,"Cantharidus articularis A. Adams, 1853",Cantharidus articularis,true,"articularis, Canthiridus A. Adams, 1851",Mollusca,2289,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","articularis, Canthiridus A. Adams, 1851d: 169"
"Cyrene astartina Martens, 1859",Cyrene astartina,"Cyrena astartina E. von Martens, 1860",Cyrena astartina,true,"astartina, Cyrene Martens, 1859",Mollusca,2404,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","astartina, Cyrene Martens, 1859h, 6:219, plate 3: figures 6, 7"
"Heteroceras astieranum Orbigny, 1851",Heteroceras astieranum,"Heteroceras astierianum d'Orbigny, 1851",Heteroceras astierianum,true,"astieranum, Heteroceras Orbigny, 1851",Mollusca,2419,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","astieranum, Heteroceras Orbigny, 1851a, 2:219,plate 4: figure 1"
"Gastochaena astraearum Pictet and Campiche, 1864",Gastochaena astraearum,Gastrochaena astraearum,Gastrochaena astraearum,true,"astraearum, Gastochaena Pictet and Campiche, 1864",Mollusca,2423,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","astraearum, Gastochaena Pictet and Campiche, 1864 [in 1861- 1871], 4; 13, plate 99: figures 6, 7"
"Circumphalus (Lirophora) athleta Conrad, 1862",Circumphalus athleta,"Circomphalus athleta Conrad, 1863",Circomphalus athleta,true,"athleta, Circumphalus (Lirophora) Conrad, 1862",Mollusca,2457,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","athleta, Circumphalus (Lirophora) Conrad, 1862b:575; 1862c:586"
"Achatina atramentaris Pfeiffer, 1855",Achatina atramentaris,"Achatina atramentaria L. Pfeiffer, 1855",Achatina atramentaria,true,"atramentaris, Achatina Pfeiffer, 1855",Mollusca,2484,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","atramentaris, Achatina Pfeiffer, 1855m:l 16"
"Limax da-campi atrata Bettoni, 1870",Limax da-campi atrata,"Limax dacampi var. atrata Bettoni, 1870",Limax dacampi atrata,true,"atrata, Limax da-campi Bettoni, 1870",Mollusca,2492,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","atrata, Limax da-campi Bettoni, 1870, 3:165, plate 3: figure 4 a"
"Trochus umbilicatus atro-purpurea Jeffreys, 1865",Trochus umbilicatus atro-purpurea,"Trochus umbilicatus var. atropurpurea Jeffreys, 1865",Trochus umbilicatus atropurpurea,true,"atro-purpurea, Trochus umbilicatus Jeffreys, 1865",Mollusca,2505,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","atro-purpurea, Trochus umbilicatus Jeffreys, 1865 [in 1862-1869], 3: 312"
"Bittum attenuatum P. Carpenter, 1864",Bittum attenuatum,"Bittium attenuatum Carpenter, 1864",Bittium attenuatum,true,"attenuatum, Bittum P. Carpenter, 1864",Mollusca,2543,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","attenuatum, Bittum P. Carpenter, 1864c:655; 1865i, 13:142"
"Pupa polydon attrita A. Moquin-Tandon, 1855",Pupa polydon attrita,"Pupa polyodon var. attrita Moquin-Tandon, 1856",Pupa polyodon attrita,true,"attrita, Pupa polydon A. Moquin-Tandon, 1855",Mollusca,2564,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","attrita, Pupapolydon A. Moquin-Tandon, 1855b, 2:373"
"Trochus augusti Dumortier, 1857",Trochus augusti,Trochus augustus DesH.,Trochus augustus,true,"augusti, Trochus Dumortier, 1857",Mollusca,2588,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","augusti, Trochus Dumortier, 1857, 1:236, plate 9: figures 4 a,b"
"Nanina citrina aurantia Martens, 1867",Nanina citrina aurantia,Hanina citrina aurantia Mart,Hanina citrina aurantia,true,"aurantia, Nanina citrina Martens, 1867",Mollusca,2600,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aurantia, Nanina citrina Martens, 1867f, 2:194, plate 7: figures 1, 3"
"Trochus (Monodonta) aureo-tinctus Forbes, 1850",Trochus aureo-tinctus,"Trochus aureotinctus Forbes, 1852",Trochus aureotinctus,true,"aureo-tinctus, Trochus (Monodonta) Forbes, 1850",Mollusca,2622,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aureo-tinctus, Trochus (Monodonta) Forbes, 1850b:271, plate 11; figure 7"
"Pecten aurilaevis Fried. Roemer, 1852",Pecten aurilaevis,Pecten aurilevis Roemer 1852,Pecten aurilevis,true,"aurilaevis, Pecten Fried. Roemer, 1852",Mollusca,2647,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","aurilaevis, Pecten Fried. Roemer, 1852 [in 1850-1852], 3:91. plate 13: figure 18"
"Bulimus auris-myoxi Shuttleworth, 1852",Bulimus auris-myoxi,"Bulimus aurismyoxi Shuttleworth, 1852",Bulimus aurismyoxi,true,"auris-myoxi, Bulimus Shuttleworth, 1852",Mollusca,2651,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","auris-myoxi, Bulimus Shuttleworth, 1852:289"
"Bulimus auris-ratti Philippi, 1867",Bulimus auris-ratti,"Bulimus aurisratti Philippi, 1867",Bulimus aurisratti,true,"auris-ratti, Bulimus Philippi, 1867",Mollusca,2652,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","auris-ratti, Bulimus Philippi, 1867a, 14:69; Pfeiffer, 1867 [in 1854- 1869], 3:336, plate 80: figures 10, 11"
"Plekocheilus auris-sciuri Guppy, 1866",Plekocheilus auris-sciuri,"Plekocheilus aurissciuri Guppy, 1866",Plekocheilus aurissciuri,true,"auris-sciuri, Plekocheilus Guppy, 1866",Mollusca,2653,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","auris-sciuri, Plekocheilus Guppy, 1866d, 17:51"
"Scalaria austro-caledonica Montrouzier, 1859",Scalaria austro-caledonica,"Scalaria austrocaledonica Montrouzier, 1859",Scalaria austrocaledonica,true,"austro-caledonica, Scalaria Montrouzier, 1859",Mollusca,2728,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","austro-caledonica, Scalaria Montrouzier, 1859 [in 1859-1860], 7: 373; 1860 [in 1859-1860], 8:115, plate 2: figure 5"
